X1	X2	Y1	Y2	Y2
-39,50	-13,60	1420,00	2677,50	26177,50
-38,62	-12,38	1212,10	4347,30	4347,30
-41,40	-14,97	1509,90	1122,80	1122,80
-38,78	-10,95	5000,60	5320,00	4038,20
-39,48	-9,83	2309,40	2776,40	22137,70
-39,65	-13,27	1896,30	2815,40	2815,40
-39,33	-14,30	1775,00	1811,30	1811,30
-39,52	-14,20	2658,40	2617,90	26417,90
-42,13	-11,33	1299,70	736,70	71436,70
-41,33	-10,72	1867,60	915,30	520,80
-39,08	-15,28	1721,10	1639,60	1639,60
-42,65	-14,77	1577,50	851,80	851,80
-39,28	-14,58	1941,50	3276,20	3276,20
-41,10	-12,07	1843,30	1018,20	11018,20
-39,08	-13,37	9697,60	1788,80	1788,80
-39,47	-11,40	2821,40	1990,30	1990,30
-40,13	-11,60	1323,80	1285,90	1285,90
-40,33	-11,52	835,00	1321,10	1321,10
-40,93	-11,25	1165,90	1325,90	1325,90
-39,38	-12,97	783,70	2047,70	2047,70
-38,62	-12,95	4328,80	3524,30	3524,30
-40,10	-17,22	520,80	1595,70	2677,50
-40,85	-14,85	34274,60	1497,30	1497,30
-41,17	-12,28	844,50	1014,10	1014,10
-43,88	-12,13	1122,80	561,80	561,80
-39,48	-13,68	1996,50	2470,90	21470,90
