35054 CARAGUATATUBA,21419
35055 REGISTRO,10354
35056 ITANHAEM,9228
35057 OSASCO,30990
35058 FRANCO DA ROCHA,22348
35059 GUARULHOS,71045
35060 ITAPECERICA DA SERRA,10269
35061 SAO PAULO,574733
35062 MOGI DAS CRUZES,46692
35063 SANTOS,16691
17001 BICO DO PAPAGAIO,395
17002 ARAGUAINA,1661
17003 MIRACEMA DO TOCANTINS,176
17004 RIO FORMOSO,365
17005 GURUPI,993
17006 PORTO NACIONAL,1043
17007 JALAPAO,174
17008 DIANOPOLIS,1476
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
 ,
